text,label,events,predictions,prob_conclusion,prob_premise,prediction_label
"They refer to the safeguards provided in the Order: no inference may be drawn unless the suspect/accused has been warned in advance of the possible effect; before any inference is drawn, the prosecution must have established a prima facie case against the accused; the judge has a discretion whether to draw an inference and is limited to drawing only such inferences as may be proper.",premise,"['they refer safeguard', ' provide number', 'inference may be draw ', 'suspect have be warn advance', 'suspect have be warn effect', 'inference be draw ', 'prosecution must have establish case', 'judge have discretion', ' to draw inference', 'judge be limit ', ' draw inference']",1,0.02828731,0.97171265,Premise
The Order merely allows the trier of fact to draw such inferences as common sense dictates.,premise,"['order allow ', 'trier to draw inference', 'sense dictate ']",1,0.0283199,0.97168016,Premise
"In the present case, there was a formidable case against the applicant which called for evidence from the applicant if there was an innocent explanation for his conduct.",premise,"['there be case', 'which call evidence', 'there be explanation']",1,0.028332146,0.9716679,Premise
The burden of proof remained throughout on the prosecution.,premise,['burden remain '],1,0.02932411,0.9706759,Premise
The Government submit that the provisions of the 1988 Order did not operate to deprive the applicant either of a fair hearing contrary to Article 6 para. 1 (Art. 6-1) or of the presumption of innocence contrary Article 6 para. 2 (Art. 6-2).,conclusion,"['government submit ', 'provision do operate ', ' to deprive hearing']",1,0.028333325,0.97166663,Premise
"As regards the denial of access by the applicant to his solicitor for 48 hours, the Government contend that this delay did not disadvantage the applicant in the conduct of his defence and",premise,"[' regard denial', 'company tend ', 'delay do disadvantage applicant', 'delay do disadvantage duct']",1,0.028335428,0.9716646,Premise
therefore discloses no violation of Article 6 (Art. 6) of the Convention.,conclusion,[' disclose violation'],1,0.02848755,0.9715125,Premise
"Since the police have similar powers to delay access in England and Wales,",premise,"['police have power', ' to delay access', ' to delay england']",1,0.028316205,0.97168374,Premise
they submit that there is no discrimination in this respect within the meaning of Article 14 (Art. 14) of the Convention.,conclusion,"['they submit ', 'there be discrimination', 'there be meaning']",1,0.028321067,0.9716789,Premise
"The difference in this respect between the position in England and Wales and that in Northern Ireland, based as it was solely on the geographical location at which a person was arrested and detained,",premise,"['difference base location', 'person be arrest ', 'person detain ']",1,0.02831309,0.9716869,Premise
did not amount to discriminatory treatment within the meaning of Article 14 (Art. 14) of the Convention.,conclusion,['number do amount treatment'],1,0.028338037,0.9716619,Premise
"Further, the denial of access by the applicant to his solicitor for 48 hours and the discriminatory practice of not permitting solicitors to be present at any stage while a person arrested under prevention of terrorism provisions is being interviewed,",premise,"['number permit solicitor', ' arrest provision', 'person be be interview ']",1,0.028342959,0.9716571,Premise
"The discriminatory element derives, inter alia, from the fact that in England and Wales, contrary to the practice in Northern Ireland, all detained persons, including those detained under prevention of terrorism legislation, are permitted to have their legal representative present during the police interviews.",premise,"['element derive fact', ' include those', ' detain legislation', 'person be permit ']",1,0.028340245,0.9716598,Premise
violates Article 6 (Art. 6) either alone or read in conjunction with Article 14 (Art. 6+14) of the Convention.,conclusion,"[' violate art', ' read junction']",1,0.02833545,0.9716645,Premise
"It considers that the applicant's complaints raise serious issues of fact and law under the Convention, the determination of which should depend on an examination of the merits.",premise,"['it sider ', 'plaint raise issue', 'plaint raise convention', 'determination should depend examination']",1,0.028327959,0.97167206,Premise
It follows that the application cannot be dismissed as manifestly ill-founded.,conclusion,"['it follow ', 'application can be not dismiss ']",1,0.028269257,0.9717308,Premise
As regards the refusal of permission to the applicant's solicitor to be present during his interviews with the police,premise,[' regard refusal'],1,0.028406624,0.9715934,Premise
the Government state that this too did not affect the conduct of the applicant's defence and disclosed no violation of Article 6 (Art. 6) of the Convention.,conclusion,"['government state ', 'this do affect duct', 'government disclose violation']",1,0.02832715,0.97167283,Premise
"The applicant submits that the 1988 Order, which permits inferences to be drawn from the failure of an accused to answer police questions or to give evidence, and the reliance placed upon it by the trial judge in the instant case,",premise,"['applicant submit ', 'which permit inference', ' to be draw failure', ' to answer question', ' to give evidence', ' place it', ' place judge', ' place case']",1,0.028309956,0.97169006,Premise
The very strong inferences drawn by the trial judge in the applicant's case played a crucial role in his conviction.,premise,"[' draw judge', ' draw case', 'inference play role', 'inference play viction']",1,0.028330266,0.9716697,Premise
"It is submitted that it is a generally recognised principle of international law that an accused person cannot be required to incriminate himself, that Article 6 (Art. 6) of the Convention enshrines this principle, and that the drawing of an incriminating inference from an accused's failure to give evidence infringes his right to a fair trial.",premise,"['it be submit art', 'person can be not require ', ' to incriminate himself', '6 enshrine principle', ' to give evidence', 'drawing infringe right']",1,0.028309293,0.9716907,Premise
The applicant also submits that the drawing of an incriminating inference from the failure of an accused person to give evidence has the effect of placing the burden of proof on an accused and is manifestly inconsistent with the presumption of innocence guaranteed in Article 6 para. 2 (Art. 6-2) of the Convention.,premise,"['applicant submit ', ' to give evidence', 'drawing have effect', ' place burden', ' place accuse', ' guarantee para']",1,0.02832625,0.9716737,Premise
violate Article 6 para. 1 (Art. 6-1) of the Convention.,conclusion,[' violate para'],1,0.028782986,0.971217,Premise
