text,label,events,predictions,prob_non_argumentative,prob_premise,prob_conclusion,prediction_label
"The Court notes that this particular complaint was not dealt with by the Commission in its report or admissibility decision and that, as pointed out by the Delegate of the Commission, it is uncertain whether it can be regarded as falling within the compass of the case before the Court as delimited by the Commission’s decision on admissibility",premise,"['<ORG> e it', 'number deal decision', 'case delimit <ORG>']",1,0.39527392,0.59929764,0.005428501,Premise
"(see, inter alia, the Powell and Rayner v. the United Kingdom judgment of 21 February 1990, Series A no. 172, p. 13, para. 29).",premise,[],1,0.43316182,0.54858637,0.018251892,Premise
"In any event, given the fact that the applicant’s punitive period has now expired, the Court does not consider it necessary to examine this complaint.",premise,[],1,0.43316182,0.54858637,0.018251892,Premise
"The scope of the case before the Court is therefore confined to the issues under Article 5 para. 4 (art. 5-4) raised in connection with the applicant’s current situation, that is post-tariff detention.",conclusion,['company fine issue'],1,0.40168214,0.5898598,0.008458033,Premise
"(see paragraph 26 above), which the Court examined in its Wynne v. the United Kingdom judgment of 18 July 1994 (Series A no. 294-A),",premise,[],1,0.43316182,0.54858637,0.018251892,Premise
in that the former is not solely based on the gravity of the offence but takes into account the age of the offender.,premise,['number base gravity'],1,0.401354,0.5901929,0.008453046,Premise
"In the applicant’s submission, a sentence of detention during Her Majesty’s pleasure differed from the mandatory life sentence imposed on adults",conclusion,"['sentence differ life sentence', 'life sentence impose adult']",1,0.39570007,0.5992626,0.005037274,Premise
"The principle that crimes committed by young persons should not be punished as severely as the crimes of adults is, in the applicant’s submission, contained in all civilised penal codes.",premise,['crime company mitte person'],1,0.40080053,0.59011024,0.009089277,Premise
"In this respect, the purpose of a sentence of detention during Her Majesty’s pleasure is not wholly punitive in character but partly punitive and partly preventive.",premise,[],1,0.43316182,0.54858637,0.018251892,Premise
"In support of his argument the applicant referred to the historical origins of the expression ""during Her Majesty’s pleasure"" (the Criminal Lunatics Act 1800 and the Children’s Act 1908 - see paragraphs 27 and 29 above) in which context it had a clear preventive purpose.",premise,"['applicant refer origin', 'it have purpose']",1,0.4004144,0.59224087,0.007344713,Premise
"He further referred to the wording of section 53 of the 1933 Act (""a person [under 18] ... shall not, if ... convicted of murder, be sentenced to imprisonment for life"" - see paragraph 29 above) and to the indeterminacy of the very formula used in the sentence (""during Her Majesty’s pleasure"").",premise,"['he refer wording', 'company victe murder', 'company sentence imprisonment', 'person see paragraph', 'formula use sentence', 'formula use <NAME>']",1,0.40735802,0.5863074,0.0063345837,Premise
"In view of the above, the applicant concluded that a sentence of detention under section 53 was closer in its indeterminacy and preventive objectives to a discretionary life sentence, as examined by the Court in the case of Thynne, Wilson and Gunnell cited above than to a mandatory life sentence.",conclusion,"['applicant company clude indeterminacy', 'applicant company clude case']",1,0.41004062,0.5819191,0.008040284,Premise
"In view of the above, the applicant concluded that a sentence of detention under section 53 was closer in its indeterminacy and preventive objectives to a discretionary life sentence, as examined by the Court in the case of Thynne, Wilson and Gunnell cited above than to a mandatory life sentence.",premise,"['applicant company clude indeterminacy', 'applicant company clude case']",1,0.41004062,0.5819191,0.008040284,Premise
"As in that case, after the tariff has expired, the only legitimate basis for the applicant’s continued detention would be a finding of his continued dangerousness, a characteristic susceptible to change with the passage of time (ibid., p. 30, para. 76).",premise,[],1,0.43316182,0.54858637,0.018251892,Premise
This was particularly so in the case of offenders who could be as young as ten at the time of the commission of the offence.,premise,[],1,0.43316182,0.54858637,0.018251892,Premise
"It follows that at that phase in the execution of his sentence, the applicant was entitled under Article 5 para. 4 (art. 5-4) to have the lawfulness of his continued detention and of any re-detention determined by a court at reasonable intervals.",conclusion,"['applicant entitle article para', 're detention determine interval']",1,0.38594657,0.60797215,0.006081278,Premise
"The Government, for their part, contended that the sentence of detention during Her Majesty’s pleasure has an essentially punitive character and is imposed automatically on all juvenile murderers on the strength of the gravity of their offence, regardless of their mental state or dangerousness.",premise,['sentence have character'],1,0.4019764,0.5906159,0.0074077323,Premise
This explains why under the Criminal Justice Act 1991 the same release procedures govern both mandatory life sentences passed on adults and sentences of detention during Her Majesty’s pleasure and why the same administrative policies are applied to both (see paragraphs 31 and 35 above).,premise,"['this explain life sentence', 'this explain policy', 'release procedure govern life sentence', 'release procedure govern sentence', 'life sentence pass adult', 'policy apply paragraph']",1,0.38095498,0.61406964,0.0049754083,Premise
"Furthermore, after the tariff period has elapsed, not only the prisoner’s dangerousness but also the acceptability to the public of his early release must be considered with a view to maintaining public confidence in the system of criminal justice (see paragraph 38 above).",premise,"['view maintain company fidence', 'view maintain system']",1,0.39678743,0.5971885,0.0060240887,Premise
"It was further contended that, apart from the fact that persons sentenced to detention during Her Majesty’s pleasure would not be detained in a prison during the early stages of their detention but in a special institution for young offenders, the sentence was nothing more than the statutory equivalent for young persons of the mandatory life sentence for adults.",premise,"['person sentence detention', 'person detain prison', 'person detain stage']",1,0.40528885,0.5879885,0.0067226323,Premise
"In these circumstances, the issues in the present case were practically identical to those in the Wynne case (cited above at paragraph 55) where the Court found that the original trial and appeal proceedings satisfied the requirements of Article 5 para. 4 (art. 5-4) of the Convention.",conclusion,"['<NAME> cite paragraph', 'proceeding satisfy requirement']",1,0.39285147,0.6019125,0.0052360585,Premise
"It is true, as submitted by the Government, that a sentence of detention during Her Majesty’s pleasure is mandatory: it is fixed by law and is imposed automatically in all cases where persons under the age of 18 are convicted of murder, the trial judge having no discretion.",premise,"['it fix law', 'person victe murder', 'trial judge have number discretion']",1,0.39488104,0.5986481,0.006470824,Premise
It is also the case that the 1991 Act as well as recent policy statements treat the sentence at issue in the present case in an identical manner to mandatory life sentences as regards proceedings for release on licence and recall (see paragraphs 31 and 35 above).,premise,"['Act treat sentence', 'Act treat manner']",1,0.39551464,0.59935206,0.0051332563,Premise
"On the other hand, it is undisputed that, in its statutory origins, the expression ""during Her Majesty’s pleasure"" had a clearly preventive purpose and that - unlike sentences of life custody or life imprisonment - the word ""life"" is not mentioned in the description of the sentence.",premise,"['expression have purpose', 'word life mention description']",1,0.3762012,0.61809546,0.0057033463,Premise
"Nevertheless, important as these arguments may be for the understanding of the sentence of detention under section 53 in English law, the decisive issue in the present context is whether the nature and, above all, the purpose of that sentence are such as to require the lawfulness of the continued detention to be examined by a court satisfying the requirements of Article 5 para. 4 (art. 5-4).",premise,"['lawfulness examine rt', 'rt satisfy requirement']",1,0.38204747,0.6128916,0.0050608856,Premise
It is recalled that the applicant was sentenced to be detained during Her Majesty’s pleasure because of his young age at the time of the commission of the offence.,premise,['applicant sentence Majestys pleasure'],1,0.39534643,0.59715146,0.0075021703,Premise
"In the case of young persons convicted of serious crimes, the corresponding sentence undoubtedly contains a punitive element and accordingly a tariff is set to reflect the requirements of retribution and deterrence.",premise,"['company tain element', 'tariff set retribution']",1,0.40003395,0.59283453,0.0071315123,Premise
"However, an indeterminate term of detention for a convicted young person, which may be as long as that person’s life, can only be justified by considerations based on the need to protect the public.",premise,"['term justify company sideration', 'need protect public']",1,0.39767158,0.5969493,0.005379103,Premise
"These considerations, centred on an assessment of the young offender’s character and mental state and of his or her resulting dangerousness to society, must of necessity take into account any developments in the young offender’s personality and attitude as he or she grows older.",premise,"['company sideration centre assessment', 'centre take development', 'centre take account']",1,0.39020497,0.6042035,0.0055915588,Premise
"A failure to have regard to the changes that inevitably occur with maturation would mean that young persons detained under section 53 would be treated as having forfeited their liberty for the rest of their lives, a situation which, as the applicant and the Delegate of the Commission pointed out, might give rise to questions under Article 3 (art. 3) of the Convention.",premise,"['that occur maturation', 'person detain section', 'person treat liberty', 'situation give rise', 'situation give question']",1,0.39396805,0.5998174,0.0062144925,Premise
"Against this background the Court concludes that the applicant’s sentence, after the expiration of his tariff, is more comparable to a discretionary life sentence.",conclusion,[],1,0.43316182,0.54858637,0.018251892,Premise
The Commission found that the Parole Board’s lack of decision-making power,premise,['<ORG> lack power'],1,0.4210864,0.5725304,0.006383244,Premise
meant that it could not be regarded as a body satisfying the requirements of Article 5 para. 4 (art. 5-4).,conclusion,"['company ld number regard body', 'body satisfy requirement']",1,0.3901132,0.6041323,0.005754541,Premise
